"","label","species","plant_number","leaf_number","area","std_dev","x","y","xm","ym","perim","bx","by","width","height","major","minor","angle","circ","feret","feret_x","feret_y","feret_angle","min_feret","ar","round","solidity","x_1"
"46","CEAGRI_P1_R1_W_00001.jpg","CEAGRI",1,1,3.892052557,13.237714858,16.260677697,5.151482472,16.260264757,5.151386114,9.058475334,14.836361138,4.108790375,2.712476603,2.041739776,2.507296283,1.97643783,172.415513914,0.596044038,2.759308688,3517,1173,169.428772775,2.037397319,1.26859355,0.788274543,0.956745028,2
"47","CEAGRI_P1_R1_W_00001.jpg","CEAGRI",1,2,4.365697433,14.691154999,8.806167502,5.140547286,8.806229169,5.140519837,9.689828507,7.31904651,4.037076374,2.864341545,2.164075423,2.686923592,2.068752022,175.859169149,0.584293851,2.890649849,1735,1169,170.084049861,2.143293448,1.29881376,0.769933327,0.95765939,1
"48","CEAGRI_P1_R1_W_00001.jpg","CEAGRI",1,3,5.38157102,15.260692193,16.46823467,12.757246666,16.468114898,12.757864599,11.116900894,14.579034431,11.626105003,3.501330607,2.265318718,3.132598612,2.187330675,177.651115802,0.547206783,3.521402296,3456,3104,6.120378351,2.264959727,1.432155937,0.698247987,0.941675424,6
"49","CEAGRI_P1_R1_W_00001.jpg","CEAGRI",1,4,4.73929604,14.145025977,8.950672661,13.19192455,8.950926285,13.191828095,9.411130955,7.39076051,12.09013677,3.028861898,2.214697071,2.812182849,2.145756324,0.697981382,0.672419143,3.03619715,1752,3151,3.983525814,2.201277324,1.310578847,0.763021624,0.965746321,7
"50","CEAGRI_P1_R1_W_00001.jpg","CEAGRI",1,5,4.806064735,17.95720736,13.479419508,21.136625205,13.478263074,21.136605835,10.459740178,11.828591592,20.054609283,3.155416017,2.240007894,2.829555153,2.162626754,10.581523406,0.552023653,3.161121022,2804,5019,3.442789139,2.235020934,1.30838812,0.764299205,0.945799145,13
"51","CEAGRI_P2_R1_W_00003.jpg","CEAGRI",2,1,4.61887393,25.224064663,16.575347459,5.764344747,16.575781263,5.765296331,10.323447054,14.912293609,4.665628495,3.138542134,2.176730835,2.807127968,2.094999946,4.510969462,0.544623658,3.155743101,3535,1405,5.984952315,2.170145393,1.339917919,0.746314372,0.948008949,16
"52","CEAGRI_P2_R1_W_00003.jpg","CEAGRI",2,2,6.619656945,17.319603768,9.937952317,5.82276324,9.937390649,5.822141495,12.418339862,8.200706867,4.399864847,3.488675195,2.742005897,3.211206486,2.62468609,176.501079727,0.539409095,3.510629389,1944,1364,170.175480929,2.713053594,1.223463064,0.817352014,0.941674578,15
"53","CEAGRI_P2_R1_W_00003.jpg","CEAGRI",2,3,5.592732355,14.475300985,16.32023696,14.214791229,16.318621263,14.214545141,10.372475665,14.751991726,12.933830892,3.04151731,2.547956249,2.863112411,2.487114362,7.218241321,0.653234406,3.094992159,3497,3294,168.919800776,2.514479151,1.151178432,0.868675066,0.965595005,19
"54","CEAGRI_P2_R1_W_00003.jpg","CEAGRI",2,4,5.783055167,20.213690377,10.063082977,13.510543691,10.063450648,13.510437161,10.970474919,8.188051455,12.317934183,3.543515313,2.387654366,3.169529092,2.323125712,1.381769162,0.603832301,3.548155104,1941,3164,177.069559682,2.385813045,1.364338174,0.732956109,0.949301621,18
"55","CEAGRI_P2_R1_W_00003.jpg","CEAGRI",2,5,5.528882122,14.959802651,14.004004598,21.980822231,14.0032204,21.980621434,10.889000607,12.457143713,20.746438463,3.04151731,2.543737778,2.902711968,2.425177363,18.564523436,0.585964291,3.132040429,2953,5303,14.747490702,2.492174199,1.196907085,0.835486741,0.963258878,20
"56","CEAGRI_P3_R1_W_00001.jpg","CEAGRI",3,1,6.69471834,12.764370078,16.419466094,4.605648416,16.419399684,4.605349471,11.585348055,14.815268785,3.277751665,3.298844018,2.619670249,3.270218928,2.606547243,176.516196609,0.626792805,3.326557645,3513,1054,172.054854685,2.619670249,1.254617171,0.797055885,0.979734859,21
"57","CEAGRI_P3_R1_W_00001.jpg","CEAGRI",3,2,8.363473021,14.142147107,8.803029413,5.075365409,8.803550233,5.075318278,13.351975368,6.821266977,3.632103196,3.897866844,3.04151731,3.704870154,2.874245018,25.705456092,0.589529415,4.067474213,1617,1353,18.002748779,2.980842768,1.28898898,0.775801822,0.961923368,22
"58","CEAGRI_P3_R1_W_00001.jpg","CEAGRI",3,3,6.82453647,21.527710941,16.020704951,12.829604821,16.019377931,12.828998527,12.219771946,13.95470078,11.529080179,3.855682138,2.55639319,3.519734243,2.468728918,169.810152229,0.57432381,3.890308271,3309,2967,167.983349814,2.549216516,1.425727312,0.701396397,0.952590077,24
"59","CEAGRI_P3_R1_W_00001.jpg","CEAGRI",3,4,6.701071331,15.852750808,8.867265553,12.991585593,8.867253514,12.99250907,10.937926344,7.222021686,11.60501265,3.353684135,2.682947308,3.234285273,2.638007563,174.905684035,0.703856484,3.384415112,1712,2987,171.758800733,2.678546598,1.226033359,0.815638492,0.976956325,25
"60","CEAGRI_P3_R1_W_00001.jpg","CEAGRI",3,5,8.426913959,24.091080972,11.325514924,20.970631733,11.324307544,20.969852789,13.411633552,8.993779342,19.577922104,4.361898611,2.771535191,3.962222887,2.707944605,179.875780005,0.588728508,4.364396748,2132,5018,178.061327928,2.771535191,1.463184616,0.683440756,0.958568611,26
"61","CEAGRI_P4_R1_W_00001.jpg","CEAGRI",4,1,3.706801461,18.481753395,15.44207821,6.029342441,15.441878129,6.029699124,9.319172557,14.072817957,5.079038615,2.644981073,1.982681187,2.482362553,1.901271915,11.444932386,0.536357654,2.667317985,3336,1445,8.091657417,1.949365959,1.305632579,0.765912261,0.950412469,27
"62","CEAGRI_P4_R1_W_00001.jpg","CEAGRI",4,2,1.494874907,17.022178889,8.504946088,5.899564544,8.505269655,5.899758701,5.335895077,7.766204394,5.184500381,1.493338596,1.400532243,1.427888798,1.332970641,141.243621924,0.65978153,1.507759532,1841,1364,170.010592574,1.332222352,1.071207987,0.933525526,0.959086161,28
"63","CEAGRI_P4_R1_W_00001.jpg","CEAGRI",4,3,3.014058459,16.852346724,8.953724793,12.38796211,8.953356945,12.388209084,8.012016131,7.728238159,11.432055355,2.362343542,1.843471657,2.185610842,1.755856233,165.310968815,0.590035178,2.403599265,1832,2863,167.842033582,1.819649705,1.24475501,0.803370938,0.947607232,30
